Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Madagascar,MDG,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2904778274321
Madagascar,MDG,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2904778274321
Madagascar,MDG,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2904778274321
Madagascar,MDG,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2904778274321
Madagascar,MDG,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2904778274321
Madagascar,MDG,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2904778274321
Madagascar,MDG,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2910819102949
Madagascar,MDG,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2910819102949
Madagascar,MDG,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3219039103071
Madagascar,MDG,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3219039103071
Madagascar,MDG,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3219039103071
Madagascar,MDG,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3184647659662
Madagascar,MDG,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3184647659662
Madagascar,MDG,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3184647659662
Madagascar,MDG,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.232486157444
Madagascar,MDG,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.232486157444
Madagascar,MDG,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.232486157444
Madagascar,MDG,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.232486157444
Madagascar,MDG,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.6426729029817
Madagascar,MDG,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,67.9231007325377
Madagascar,MDG,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.1863328403893
Madagascar,MDG,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.4667606699453
Madagascar,MDG,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.9294631495684
Madagascar,MDG,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.7299927777969
Madagascar,MDG,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.7299927777969
Madagascar,MDG,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.7471884995013
Madagascar,MDG,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.540839839048
Madagascar,MDG,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.5064483956392
Madagascar,MDG,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.4634590913781
Madagascar,MDG,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.4118719262648
Madagascar,MDG,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.3688826220036
Madagascar,MDG,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.3172954568903
Madagascar,MDG,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.2829040134814
Madagascar,MDG,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.2399147092203
Madagascar,MDG,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.1797296832548
Madagascar,MDG,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.1367403789937
Madagascar,MDG,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.0765553530282
Madagascar,MDG,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.0335660487671
Madagascar,MDG,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.9733810228015
Madagascar,MDG,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.9389895793926
Madagascar,MDG,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.9045981359838
Madagascar,MDG,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.7825085118822
Madagascar,MDG,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.498779103759
Madagascar,MDG,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.4901812429068
Madagascar,MDG,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.0018227465007
Madagascar,MDG,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.9416377205351
Madagascar,MDG,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.9072462771262
Madagascar,MDG,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.8556591120129
Madagascar,MDG,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.8212676686041
Madagascar,MDG,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.7868762251952
Madagascar,MDG,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.7352890600819
Madagascar,MDG,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.6922997558208
Madagascar,MDG,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.6493104515597
Madagascar,MDG,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.6063211472985
Madagascar,MDG,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.5633318430374
Madagascar,MDG,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.5203425387763
